,name,url,state,day,time,clean_name,address,lat,lng
0,Franklin Hall (Tuesdays),https://www.franklinhalldc.com/,DC,Tuesday,7:00PM,Franklin Hall,"1348 Florida Ave NW, Washington, DC 20009, United States",38.9200265,-77.0312801
1,Stadium Sports Bar,https://www.stadiumsportsdc.com/,DC,Wednesday,7:00PM,Stadium Sports Bar,"300 Tingey St SE, Washington, DC 20003, United States",38.8751729,-77.001475
2,Capitol Cider House,https://capitolciderhouse.com/,DC,Thursday,7:00PM,Capitol Cider House,"3930 Georgia Ave NW, Washington, DC 20011, United States",38.9395107,-77.0250594
3,The Eleanor (NoMa),https://www.eleanordc.com/,DC,Sunday,7:30PM,The Eleanor (NoMa),"100 Florida Ave NE, Washington, DC 20002, United States",38.9086206,-77.0034313
4,Across the Pond,https://www.acrosstheponddc.com/,DC,Wednesday,7:30PM,Across the Pond,"1732 Connecticut Ave NW, Washington, DC 20009, United States",38.9136327,-77.0460169
5,Crown & Crow,http://www.thecrownandcrow.com/,DC,Wednesday,7:30PM,Crown & Crow,"1317 14th St NW, Washington, DC 20005, United States",38.9078617,-77.0315662
6,Astro Beer Hall,https://www.astrobeerhall.com,DC,Wednesday,7:00PM,Astro Beer Hall,"1306 G St NW, Washington, DC 20005, United States",38.8981532,-77.0302777
7,Hook Hall,https://www.hookhall.com/,DC,Thursday,7:00PM,Hook Hall,"3400 Georgia Ave NW, Washington, DC 20010, United States",38.9322857,-77.0239907
8,Crimson,https://crimson-dc.com/,DC,Tuesday,7:00PM,Crimson,"627 H St NW, Washington, DC 20001, United States",38.89994710000001,-77.0212008
9,The Fainting Goat,https://www.faintinggoatdc.com/,DC,Wednesday,7:00PM,The Fainting Goat,"1330 U St NW, Washington, DC 20009, United States",38.9167735,-77.0308397
10,Bonchon (Navy Yard),https://bonchon.com/korean-fried-chicken-navy-yard-dc/,DC,Tuesday,7:00PM,Bonchon (Navy Yard),"1015 Half St SE, Washington, DC 20003, United States",38.8782354,-77.0076527
11,Penn Social,http://pennsocialdc.com/,DC,Tuesday,7:00PM,Penn Social,"801 E St NW, Washington, DC 20004, United States",38.896305,-77.02328899999999
12,TAP99,https://www.facebook.com/tap99dc,DC,Monday,7:00PM,TAP99,"1250 Half St SE, Washington, DC 20003, United States",38.87477459999999,-77.0069766
13,Free State,https://www.freestatebar.com/,DC,Sunday,7:00PM,Free State,"501B G St NW, Washington, DC 20001, United States",38.8985936,-77.0192117
14,The Big Stick,http://thebigstick.com/,DC,Wednesday,8:00PM,The Big Stick,"20 M St SE, Washington, DC 20003, United States",38.8766572,-77.0076313
15,Irish Channel (Chinatown),http://www.irishchanneldc.com/,DC,Wednesday,7:00PM,Irish Channel (Chinatown),"500 H St NW, Washington, DC 20001, United States",38.8994679,-77.0191578
16,Franklin Hall (Mondays),https://www.franklinhalldc.com/,DC,Monday,7:00PM,Franklin Hall,"1348 Florida Ave NW, Washington, DC 20009, United States",38.9200265,-77.0312801
17,Lost & Found,http://www.lostandfounddc.com/,DC,Monday,8:00PM,Lost & Found,"2001 14th St NW, Washington, DC 20009, United States",38.917207,-77.0317144
18,Roofers Union,http://roofersuniondc.com/#info,DC,Thursday,7:30PM,Roofers Union,"2446 18th St NW, Washington, DC 20009, United States",38.92180949999999,-77.04265769999999
19,The Board and Brew,http://www.theboardandbrew.com/,MD,Thursday,7:30PM,The Board and Brew,"8150 Baltimore Ave, College Park, MD 20740, United States",38.991637,-76.93383899999999
20,Looney's Pub (Wednesday),http://www.looneyspubmd.com/college_park.html,MD,Wednesday,7:00PM,Looney's Pub,"8150 Baltimore Ave, College Park, MD 20740, United States",38.9908676,-76.93432849999999
21,Caddies on Cordell,http://www.caddiesoncordell.com/,MD,Tuesday,7:30PM,Caddies on Cordell,"4922 Cordell Ave, Bethesda, MD 20814, United States",38.9886032,-77.09841329999999
22,The Eleanor (Silver Spring),https://www.eleanormd.com/,MD,Sunday,7:30PM,The Eleanor (Silver Spring),"931 Ellsworth Dr, Silver Spring, MD 20910, United States",38.9958965,-77.02690020000001
23,True Respite Brewing Co.,https://truerespite.com/,MD,Thursday,7:00PM,True Respite Brewing Co.,"7301 Calhoun Pl #600, Derwood, MD 20855, United States",39.1079209,-77.1469687
